cpc_1,cpc_2,prob_rupture,convergence_type,acteurs_communs
G02B,G01S,0.0413,ASYM,619
H04M,G10L,0.041,ASYM,272
B29L,B29D,0.0409,ASYM,723
H05K,H02M,0.0407,ASYM,451
H02M,H05B,0.0406,SYM,309
A23B,A23V,0.0406,ASYM,329
A24C,A24D,0.0405,ASYM,51
G05B,H04L,0.0404,GPT,870
G01R,H01F,0.0403,ASYM,506
B60R,G07C,0.0402,ASYM,380
A44C,G04B,0.0402,ASYM,60
G06T,G09G,0.0401,GPT,430
A61B,B01L,0.0401,GPT,517
H04N,G09G,0.04,GPT,504
H10D,G02F,0.0399,SYM,221
G11C,H03K,0.0398,SYM,175
H04W,G01S,0.0397,GPT,789
G01N,H01J,0.0396,GPT,523
B01D,C07C,0.0394,SYM,705
G06F,G01S,0.0393,GPT,969
H04N,G06K,0.0389,GPT,446
B41J,B41F,0.0389,ASYM,177
G06V,G08G,0.0388,ASYM,393
B41J,B65H,0.0387,SYM,184
G01M,G01B,0.0384,SYM,522
B60Y,F16H,0.0383,SYM,376
G02B,G09F,0.0381,GPT,301
A61P,A61L,0.038,GPT,1130
G02B,G06F,0.038,ASYM,1165
G01R,H02H,0.0378,GPT,518
G09G,G02F,0.0378,SYM,287
F16L,F16K,0.0375,SYM,471
G01S,H01Q,0.0373,ASYM,478
G02B,H10F,0.0373,GPT,517
B60Y,B60K,0.0371,SYM,693
C12N,A01N,0.0369,GPT,534
F02C,F02K,0.0368,ASYM,113
G01D,G01B,0.0367,SYM,612
G01R,H02M,0.0365,ASYM,522
G01N,G06T,0.0363,SYM,1185
G01S,G01F,0.0363,ASYM,264
F25B,F16K,0.0362,SYM,193
B08B,A47L,0.0362,SYM,164
B60K,B60R,0.036,SYM,537
G06F,G09G,0.036,GPT,604
A61B,G01B,0.036,GPT,578
A61L,C08L,0.036,ASYM,720
G05D,G01S,0.0358,SYM,599
G06F,G06K,0.0357,GPT,713
F21S,F21W,0.0356,ASYM,437
H04N,G03B,0.0354,GPT,657
G05B,A61B,0.0354,ASYM,462
B62D,B60W,0.0353,SYM,390
C23C,C22C,0.0349,SYM,558
G06T,G16H,0.0348,ASYM,715
B29C,G05B,0.0346,ASYM,672
F04C,F04B,0.0346,ASYM,288
A61B,G01R,0.0345,ASYM,702
G06F,G02F,0.0344,GPT,482
G05B,H02P,0.0341,ASYM,415
A45D,A46B,0.0341,SYM,101
B23D,B27B,0.034,ASYM,114
B01D,C10G,0.0339,GPT,312
G05B,G06F,0.0339,GPT,1244
B62J,B62M,0.0338,SYM,157
F15B,E02F,0.0337,SYM,157
G06F,B60K,0.0337,GPT,450
F16K,F02M,0.0336,ASYM,201
G01N,G01R,0.0336,ASYM,939
C09K,C07D,0.0335,ASYM,459
B65D,B31B,0.0335,GPT,195
B29K,C08J,0.0334,SYM,887
H04M,H04R,0.0331,ASYM,274
H02J,H05B,0.0329,SYM,461
G05D,G01C,0.0327,SYM,551
A23L,A23P,0.0325,GPT,286
F05D,F16J,0.0325,GPT,200
H02M,H01F,0.0323,SYM,355
C07F,H10K,0.032,SYM,224
H01M,H01R,0.0318,ASYM,344
F27D,F27B,0.0318,SYM,361
H02J,H02H,0.0316,GPT,484
B29C,B29D,0.0316,GPT,935
A61F,A61N,0.0315,ASYM,548
F15B,F16K,0.0314,ASYM,315
G01S,H10F,0.0313,ASYM,269
G05D,B60W,0.0311,SYM,422
E04B,E06B,0.031,SYM,185
G06F,B60R,0.031,GPT,589
G05D,B64C,0.0309,ASYM,253
B60C,B29D,0.0308,SYM,150
A61M,A61N,0.0307,ASYM,610
A61M,F04B,0.0306,GPT,231
H04R,G10L,0.0302,SYM,286
B22F,C22C,0.0301,SYM,650
B29C,G01N,0.03,SYM,1032
C07C,C07B,0.03,ASYM,726
H10K,G02F,0.0299,SYM,275
B60R,B60W,0.0298,SYM,429
B64C,B64D,0.0298,SYM,444
H04N,H04H,0.0298,GPT,202
G01N,G01M,0.0296,GPT,792
F04B,F16K,0.0296,SYM,420
C08F,C09J,0.0296,ASYM,424
A46B,A46D,0.0294,GPT,88
G02B,A61B,0.0292,SYM,980
G01N,G01B,0.0291,GPT,1075
C12Q,B01L,0.0291,SYM,566
A61K,A01N,0.029,GPT,747
B01D,F01N,0.0288,GPT,363
G01D,G01P,0.0287,ASYM,353
A61P,A61Q,0.0286,GPT,1006
B29K,B29B,0.0285,ASYM,701
H02M,B60L,0.0285,SYM,343
G01N,B82Y,0.0284,GPT,743
G08G,G01S,0.0283,ASYM,448
B33Y,B23K,0.0281,SYM,409
F02B,F02D,0.028,SYM,316
H02K,H01R,0.0278,SYM,376
B65D,A47J,0.0277,ASYM,273
G02B,G01N,0.0276,SYM,1225
H04B,H04M,0.0273,ASYM,577
A61P,A23V,0.0272,GPT,817
B29C,B29B,0.0271,GPT,772
G01R,H01M,0.0271,SYM,565
H04M,H04L,0.0269,GPT,808
B32B,F16L,0.0269,ASYM,508
C09K,C08G,0.0269,SYM,618
B29C,A61M,0.0267,SYM,501
G06F,H02J,0.0266,GPT,905
H04B,H04Q,0.0266,GPT,385
B29K,B33Y,0.0266,SYM,538
C09K,G02F,0.0264,SYM,289
B62D,H02P,0.0264,SYM,202
A47C,B60N,0.0263,ASYM,159
G02B,G06T,0.0262,SYM,951
G01N,G16H,0.0261,GPT,740
H02K,H02P,0.026,SYM,520
A01B,A01C,0.026,ASYM,118
B60K,F16D,0.026,ASYM,358
B62D,F16H,0.0259,SYM,348
G02B,G02F,0.0259,GPT,725
G06F,H03K,0.0258,GPT,631
A61M,A61J,0.0258,GPT,481
H04N,G01N,0.0255,SYM,831
H02J,H02P,0.0253,ASYM,447
H04W,G06Q,0.0253,GPT,987
H04L,G09C,0.0252,GPT,204
A23V,A23G,0.0251,GPT,195
A61M,G16H,0.025,ASYM,597
B60L,H02P,0.0249,ASYM,365
H01M,H01G,0.0248,GPT,370
A61K,C08L,0.0247,ASYM,897
H02K,F16C,0.0246,SYM,440
H04N,H04L,0.0245,ASYM,1162
A47B,A47F,0.0245,ASYM,169
H01J,C23C,0.0245,ASYM,354
F05B,F03B,0.0245,GPT,363
G02B,H04B,0.0242,SYM,650
B29C,C08J,0.0242,ASYM,1072
G01N,B01D,0.0242,ASYM,1171
A47C,A61G,0.0241,SYM,144
C09K,E21B,0.0241,ASYM,194
C07C,C10G,0.024,GPT,288
F16H,B60W,0.024,SYM,319
G10L,H04S,0.0236,ASYM,139
B41M,B42D,0.0233,ASYM,133
H02K,H01F,0.0232,SYM,415
H01F,C22C,0.0231,SYM,292
H01Q,G06K,0.0231,SYM,333
G02B,F21S,0.0231,GPT,358
B05B,B05C,0.0231,ASYM,286
B32B,B29L,0.0229,SYM,1160
H01H,H02B,0.0228,ASYM,122
H04N,G02B,0.0227,SYM,1150
G06T,A61B,0.0226,SYM,1260
C08F,C07C,0.0226,SYM,500
E05D,E05F,0.0222,SYM,365
B23K,C22C,0.0222,SYM,468
B32B,C04B,0.0221,GPT,454
F21V,F21W,0.022,ASYM,534
B62D,B60R,0.0219,SYM,545
B60Y,B60L,0.0219,SYM,487
G07C,E05B,0.0218,SYM,250
B29K,B29D,0.0217,ASYM,708
C07D,A01N,0.0216,GPT,358
C08F,B01J,0.0215,SYM,571
A45D,B65D,0.0214,GPT,182
B32B,C09J,0.0212,ASYM,644
B23B,B23Q,0.0212,SYM,316
B32B,C08G,0.0211,SYM,682
A61M,B01D,0.0209,SYM,463
C09D,B05D,0.0207,ASYM,701
C10M,C10N,0.0207,SYM,417
B29C,C08K,0.0205,ASYM,977
A61K,C07F,0.0205,GPT,882
A61B,A61L,0.0204,GPT,1120
E04B,E04F,0.0204,SYM,383
A61P,C07F,0.0203,GPT,823
F21V,F21K,0.0202,GPT,377
B60W,B60L,0.0201,SYM,385
B60R,F16B,0.02,ASYM,330
C08F,C07F,0.0199,ASYM,355
F28F,F25B,0.0199,SYM,360
G05B,G05D,0.0199,SYM,761
B60T,B60W,0.0197,ASYM,281
F16H,F16C,0.0196,SYM,458
C09K,H10K,0.0195,SYM,346
H01L,G03F,0.0194,GPT,304
B32B,C08J,0.0192,SYM,932
A61M,A61L,0.0192,ASYM,768
B32B,C09D,0.019,SYM,866
G06Q,H02J,0.019,SYM,499
E21B,F16L,0.0189,SYM,263
A63B,A61H,0.0187,SYM,193
C07D,B01J,0.0185,SYM,651
C08L,B60C,0.0184,GPT,189
F16D,F16C,0.0183,SYM,388
C01G,C01P,0.0181,ASYM,495
C09K,C08L,0.018,ASYM,720
G01D,G01R,0.0177,ASYM,610
F24D,F24H,0.0176,SYM,250
A61P,C07C,0.0175,GPT,1406
C22C,B22D,0.0174,GPT,326
C01B,H01M,0.0172,ASYM,571
H04M,G06F,0.0171,GPT,846
B25F,B25B,0.0171,SYM,110
F24S,H02S,0.0171,ASYM,279
C09J,C08G,0.017,ASYM,548
F02C,F01D,0.0169,SYM,267
B29C,B65D,0.0169,ASYM,880
A61F,A61B,0.0168,ASYM,1992
F21Y,F21K,0.0168,ASYM,358
H02J,H01F,0.0168,ASYM,483
F16D,F16F,0.0168,ASYM,310
B62D,B60G,0.0166,GPT,292
C07D,H10K,0.0166,ASYM,252
B60Q,F21S,0.0165,SYM,254
H01M,B60L,0.0164,SYM,506
G06T,G01B,0.0163,ASYM,770
H04Q,H04J,0.0162,ASYM,200
C22F,C22C,0.0162,GPT,396
B01J,C02F,0.0161,ASYM,570
B60K,B60L,0.016,SYM,570
B32B,C08K,0.0158,SYM,904
H04R,H04S,0.0158,GPT,218
B32B,C22C,0.0157,ASYM,460
G05B,H02J,0.0157,SYM,670
G01S,G01C,0.0156,ASYM,670
B23B,B23C,0.0156,ASYM,166
C07C,C08G,0.0155,SYM,606
D10B,D03D,0.0152,ASYM,309
C23C,C25D,0.0149,GPT,367
B01J,C10G,0.0148,GPT,395
G08G,G01C,0.0145,SYM,421
G08G,B60W,0.0145,SYM,369
B01D,C02F,0.0144,GPT,960
F01N,F02D,0.0144,SYM,225
B29C,C08L,0.0144,SYM,1150
A61B,G16H,0.0144,GPT,1489
B60K,B60W,0.0144,SYM,554
C09K,C09D,0.0143,SYM,648
H04N,G06V,0.0143,SYM,1006
H02M,H02P,0.0143,SYM,387
C07D,C07B,0.0143,GPT,899
C07K,C12P,0.0141,GPT,608
H01L,H10F,0.0141,ASYM,570
B32B,C23C,0.0138,ASYM,619
C01B,B01J,0.0136,ASYM,928
B32B,C08L,0.0134,SYM,974
A61M,B65D,0.0133,ASYM,415
F21Y,F21W,0.0133,ASYM,462
F28D,F25B,0.0132,SYM,396
C10G,C10L,0.0131,SYM,240
B32B,B29K,0.0129,SYM,1150
C08F,C08G,0.0128,SYM,731
H04B,G06F,0.0128,ASYM,1148
B81C,B81B,0.0128,SYM,236
F03D,F05B,0.0127,SYM,672
G01N,B01J,0.0126,ASYM,1001
B05B,B65D,0.0126,ASYM,455
G01N,A61B,0.0125,SYM,1796
G01R,H02J,0.0124,SYM,847
B60K,F16H,0.0124,SYM,460
A61K,C12Q,0.0123,GPT,1348
G05D,G08G,0.0123,ASYM,441
F02B,F02M,0.0122,SYM,346
H04N,H04W,0.0122,ASYM,860
B41F,B41P,0.0122,ASYM,141
H02J,H01M,0.0121,SYM,708
A61B,A61N,0.012,GPT,1372
F02C,F23R,0.012,GPT,110
F02C,F04D,0.0118,SYM,170
C09K,C08K,0.0117,ASYM,730
C23C,C21D,0.0117,ASYM,283
B22F,B33Y,0.0116,ASYM,651
B60Y,B60W,0.0116,SYM,408
H04B,H02J,0.0115,ASYM,711
E05B,E05C,0.0115,ASYM,417
A61M,A61K,0.0114,ASYM,1068
F16D,F16H,0.0113,SYM,561
A61K,C12Y,0.0112,GPT,1160
B41J,B41M,0.0112,SYM,315
A61M,A61P,0.011,ASYM,848
E05Y,E05F,0.011,SYM,648
H02S,H10F,0.0109,ASYM,317
B32B,B65D,0.0109,ASYM,700
B41J,C09D,0.0108,ASYM,232
A43B,A43C,0.0107,ASYM,113
C12N,C12P,0.0106,GPT,994
A61M,A61B,0.0105,ASYM,2147
H04B,H04L,0.0102,ASYM,1473
F25B,F25D,0.0101,SYM,304
B22D,B22C,0.01,ASYM,185
C09J,C08L,0.0099,GPT,655
E05D,E05Y,0.0097,ASYM,614
H04W,H04J,0.0097,GPT,386
A61P,C12Y,0.0096,GPT,1065
B65B,B65D,0.0096,ASYM,720
F24F,F25B,0.0096,SYM,297
H02J,B60L,0.0096,SYM,750
G06F,H04L,0.0096,SYM,3184
C07C,B01J,0.0096,SYM,973
H04L,H04J,0.0095,GPT,497
G05D,F16K,0.0095,ASYM,537
C09J,C08K,0.0093,ASYM,612
C08F,C08L,0.0091,ASYM,964
H01L,H05K,0.0088,SYM,885
C07K,C12N,0.0087,SYM,2441
A61P,C12Q,0.0086,GPT,1283
G01N,B01L,0.0086,GPT,1300
H04N,G06F,0.0084,ASYM,1644
H02J,H02M,0.0084,ASYM,711
B29C,B32B,0.0083,SYM,1711
F05D,F04D,0.0082,ASYM,507
H01L,H10D,0.0082,ASYM,639
H04W,G06F,0.0082,SYM,1840
B60C,C08K,0.0082,GPT,183
C08F,C09D,0.0081,SYM,704
G02B,F21V,0.0081,GPT,561
A61F,A61L,0.0081,SYM,1158
H04B,H04J,0.0079,GPT,457
F02M,F02D,0.0079,SYM,307
C07C,C07F,0.0078,ASYM,701
B29C,B33Y,0.0077,ASYM,1180
C08G,C08J,0.0077,SYM,963
C09J,C09D,0.0077,ASYM,534
B29C,B29L,0.0076,ASYM,2952
G01N,A61P,0.0076,SYM,2218
C08F,C08J,0.0074,SYM,759
G01N,C12Q,0.0074,GPT,1971
H04W,H04M,0.0073,GPT,832
H01L,H10H,0.0072,GPT,565
F21V,F21Y,0.0071,SYM,998
F28D,F28F,0.0071,SYM,1033
A23L,A23V,0.007,SYM,1327
H04N,G06T,0.007,SYM,1484
G01N,C07K,0.0069,ASYM,1848
F21V,F21S,0.0069,SYM,787
B01D,C01B,0.0064,ASYM,697
F02C,F05D,0.0064,ASYM,349
C08J,C09D,0.0064,SYM,854
A61K,A61Q,0.0062,GPT,1752
G01N,A61K,0.0061,SYM,2478
G01N,C12N,0.006,ASYM,1924
C07K,C12Q,0.0059,ASYM,1057
B29C,B29K,0.0054,ASYM,2710
H04W,H04L,0.0054,SYM,2482
B60G,F16F,0.0054,ASYM,249
C08L,C08J,0.0053,ASYM,1450
C08K,C09D,0.0053,SYM,1239
C08F,C08K,0.0053,SYM,835
C08L,C08G,0.0052,SYM,1365
A61K,C07D,0.0048,ASYM,2821
C12P,C12Y,0.0045,SYM,623
A61K,C07C,0.0044,GPT,1501
C07C,C07D,0.0043,ASYM,1462
C07D,C07F,0.0043,GPT,816
F21Y,F21S,0.0043,SYM,665
B01D,B01J,0.0042,SYM,1296
H04W,H04B,0.0042,ASYM,1311
C12N,C12Q,0.0041,ASYM,1494
A61P,C07D,0.0041,ASYM,2926
C12N,C12Y,0.0039,GPT,1365
B29K,B29L,0.0039,SYM,2021
A61K,C12N,0.0036,ASYM,3314
C08L,C09D,0.0035,ASYM,1119
F01D,F04D,0.0035,ASYM,276
C08J,C08K,0.0034,SYM,1240
C07K,C12Y,0.0033,ASYM,959
C22C,C21D,0.0032,ASYM,484
C08G,C09D,0.0025,SYM,986
C08L,C08K,0.0024,SYM,1782
A61K,C07K,0.0023,GPT,3487
F05D,F01D,0.0022,SYM,499
C08G,C08K,0.0022,SYM,1133
A61P,C12N,0.0018,ASYM,3000
A61P,C07K,0.0017,ASYM,3250
A61K,A61P,0.001,SYM,9680
